Company Name,Year of experience,Job location,Skills required,Publised days ago
august solutions pvt ltd,2 yrs,Pune,"perl scripting  ,  os  ,  operating system  ,  problem solving  ,  storage  ,  system administration  ,  linux  ,  shell scripting  ,  technical skills  ,  unix",0.0
Expert Global Group,5 yrs,Aurangabad,"design engineer  ,  bom  ,  fabrication  ,  documentation  ,  ug nx  ,  drawing reading  ,  casting  ,  nx",0.0
BookMyHouse,6 yrs,Gurgaon,"c  ,  mobile  ,  graphics  ,  ios  ,  cocoa touch  ,  ios development",0.0
BUSISOL SOURCING INDIA PVT. LTD,3 yrs,Mumbai,"journal entries  ,  team player  ,  accounting  ,  general ledger  ,  excel  ,  icwa  ,  audit  ,  accounts  ,  finance  ,  ca  ,  expenses",0.0
BUSISOL SOURCING INDIA PVT. LTD,5 yrs,"Hyderabad/Secunderabad,  Mumbai","data analytics  ,  data analysis  ,  business analyst  ,  database  ,  business process",0.0
BUSISOL SOURCING INDIA PVT. LTD,5 yrs,Mumbai,"hlookup  ,  reports  ,  mis reporting  ,  pivot table  ,  vlookup  ,  management reporting  ,  excel  ,  mis",0.0
BUSISOL SOURCING INDIA PVT. LTD,8 yrs,Mumbai,"physiotherapy  ,  hydrotherapy  ,  manual therapy  ,  physiotherapist",0.0
Boyen Haddin Consultants LLP,3 yrs,Mumbai,"moulding  ,  plastic  ,  extrusion  ,   Knowledge of Market",0.0
APPLYCUP HIRING SOLUTIONS LLP,4 yrs,"Gurgaon,  Delhi,  Delhi/NCR","dealing  ,  forecasting  ,  service tax  ,  gst  ,  accounting  ,  accounts  ,  cash flow  ,  tally  ,  finance manager  ,  finance",0.0
APPLYCUP HIRING SOLUTIONS LLP,6 yrs,Noida/Greater Noida,"c  ,  ios developer  ,  mobile  ,  ios  ,  xcode  ,  database  ,  xml  ,  cocoa touch  ,  swift",0.0
APPLYCUP HIRING SOLUTIONS LLP,4 yrs,"Delhi,  Delhi/NCR","c  ,  ios developer  ,  storage  ,  ios  ,  iphone  ,  ipad  ,  swift",0.0
limenzy technologies,8 yrs,Thiruvananthapuram,"mobile  ,  ajax  ,  javascript  ,  mysql server  ,  xml  ,  oops  ,  php",0.0
foundation manpower management,3 yrs,Kolkata,"training programs  ,  conflict management",0.0
ivdisplays digital services pvt ltd,4 yrs,Kolkata,"ios developer  ,  mobile  ,  ios  ,  iphone sdk  ,  database  ,  ios development",0.0
glan management consultancy pvt. ltd.,10 yrs,Noida/Greater Noida,"front end developer  ,  website  ,  ui developer  ,  css3",0.0
hifx it & media services,8 yrs,Cochin/ Kochi/ Ernakulam,"application developer  ,  android studio  ,  object oriented design  ,  network management  ,  android developer",0.0
hifx it & media services,8 yrs,Cochin/ Kochi/ Ernakulam,"algorithms  ,  mvvm  ,  git  ,  debugging  ,  data structures",0.0
InnOvator Web Solutions Pvt.Ltd.,3 yrs,Mumbai,"css  ,  jquery  ,  apache  ,  git  ,  xml  ,  oops  ,  html  ,  mysql  ,  api  ,  mongodb  ,  rest  ,  laravel  ,  svn  ,  javascript  ,  php  ,  soap",0.0
Nuvodev Technologies Pvt Ltd,3 yrs,Bengaluru / Bangalore,"web developers  ,  Business Developer  ,  Marketing",0.0
NEXTWAVE MULTIMEDIA,7 yrs,Chennai,"c#  ,  fundamentals  ,  mobile  ,  artificial intelligence  ,  oop  ,  games  ,  debugging  ,  data structures",0.0
redefine webs,1 yrs,Ludhiana,"html5  ,  bootstrap  ,  javascript  ,  jquery",0.0
official gates technologies private limited,5 yrs,Chennai,"c  ,  os  ,  mobile  ,  ios  ,  iphone  ,  mobile development  ,  ipad",0.0
kudosindia,3 yrs,Mumbai,"wordpress  ,  html5  ,  php developer  ,  svn  ,  team player  ,  javascript  ,  git  ,  php  ,  mysql",0.0
IDEAVATE SOLUTIONS,6 yrs,Indore,"visualforce  ,  rest  ,  apex  ,  salesforce  ,  api  ,  soap",0.0
MORPHOGENESIS,6 yrs,"Mumbai,  Delhi,  Delhi/NCR,  Bengaluru / Bangalore","modeling  ,  bim  ,  cad  ,  revit  ,  project coordination  ,  building  ,  coordination",0.0
Mafiree,3 yrs,Nagercoil,"css  ,  javascript  ,  java  ,  apache  ,  php  ,  html  ,  mysql  ,  software developer",0.0
Healthspring,3 yrs,Mumbai,"nutrition education  ,  nutrition  ,  patient education  ,  health  ,  dietician",0.0
Textron India Pvt Ltd,3 yrs,,"suppliers  ,  validation  ,  mission system   ,  navigation systems",0.0
Rigel Networks Pvt Ltd,10 yrs,Vadodara,"web services  ,  project documentation  ,  application development  ,  game development  ,  debugging  ,  threading  ,  xml parsing",0.0
SynergyTop LLC,4 yrs,Indore,"rest  ,  mobile  ,  bug fixing  ,  json",0.0
social panga,9 yrs,Bengaluru / Bangalore,"digital marketing  ,  marketing  ,  brand campaigns  ,  campaigns  ,  social media marketing",0.0
sunzant technologies private limited,7 yrs,Bengaluru / Bangalore,"authoring  ,  wcs  ,  java  ,  debugging",0.0
Tech Throne It Solutions Pvt Ltd,3 yrs,Hyderabad/Secunderabad,"mobile  ,  ios  ,  mobile application developer",0.0
VM3 Tech Solutions LLP,3 yrs,Pune,"recruitment  ,  college recruiting  ,  hr executive  ,  communication",0.0
VM3 Tech Solutions LLP,3 yrs,Pune,"recruitment  ,  college recruiting  ,  hr executive  ,  communication",0.0
SANDA GROUP,3 yrs,Mumbai,"html5  ,  mobile  ,  javascript  ,  jquery  ,  javascript developer  ,  markup languages  ,  html",0.0
SANDA GROUP,3 yrs,Mumbai,"c  ,  ios developer  ,  mobile  ,  ios  ,  objective c  ,  mobile development  ,  ios development  ,  swift",0.0
tech exactly,3 yrs,Bengaluru / Bangalore,"database management system  ,  java  ,  git  ,  json  ,  debugging  ,  mysql  ,  object oriented programming",0.0
Samrin Services Pvt Ltd.,5 yrs,Mumbai,"excel  ,  reports  ,  erp  ,  typing  ,  computer entry",0.0
Right Turn,3 yrs,Bengaluru / Bangalore,"webmaster  ,  email marketing  ,  campaigns  ,  google adwords  ,  link building  ,  google analytics  ,  seo analyst  ,  seo",0.0
TransGraph Consulting Pvt.Ltd.,6 yrs,Hyderabad/Secunderabad,"reports  ,  mis  ,  cfa  ,  hedging  ,  pricing  ,  finance  ,  cera",0.0
Teleradiology Solutions,3 yrs,,"radiology  ,  diagnosis  ,  emergency  ,  radiologist",0.0
Safexpress Pvt Ltd,6 yrs,"Delhi,  Delhi/NCR","written communication  ,  windows platform  ,  mobile  ,  ios development  ,  ios",0.0
zscaler softech pvt ltd,13 yrs,"Chandigarh,  Bengaluru / Bangalore","tcpdump  ,  apache  ,  linux  ,  debugging  ,  perl  ,  python  ,  gateway  ,  unix",0.0
alliance recruitment agency,2 yrs,Bengaluru / Bangalore,"Prepare test  ,  customer technical team  ,  technical issues",0.0
xtreem solution,5 yrs,Jaipur,"c  ,  ios developer  ,  mobile  ,  graphics  ,  ios  ,  mobile development  ,  cocoa touch  ,  ios development",0.0
alliance recruitment agency,6 yrs,,"grouppolicy  ,  information technology  ,  server management  ,  windows  ,  it specialist  ,  vmware esx  ,  active directory  ,  powershell  ,  web management  ,  group policy",0.0
votary softech solution pvt ltd,3 yrs,Hyderabad/Secunderabad,"linux  ,  mobile  ,  software engineer  ,  senior software engineer  ,  itskills",0.0
axmiyan hr solutions private limited,8 yrs,Mumbai,"algorithms  ,  problem solving  ,  node.js  ,  java  ,  git  ,  data structures",0.0
axmiyan hr solutions private limited,13 yrs,Pune,"gap analysis  ,  business analyst  ,  use cases  ,  documentation skills",0.0
Vibidsoft,5 yrs,Ahmedabad,"rest  ,  bug fixing  ,  android development  ,  json  ,  api",0.0
kbs consultants,8 yrs,Chennai,"fixed assets  ,  reporter  ,  project accounting  ,  general ledger  ,  budgeting  ,  finance",0.0
aarika hr professionals,3 yrs,Jaipur,"css  ,  software testing  ,  jquery  ,  javascript  ,  react.js  ,  node.js  ,  html",0.0
cwebconsultants,6 yrs,Mohali,"css  ,  html5  ,  javascript  ,  node.js  ,  database  ,  html  ,  api  ,  angularjs",0.0
webs optimization software solution,8 yrs,Ahmedabad,"gradle  ,  rest  ,  oops  ,  bug fixing  ,  storage  ,  javascript",0.0
spiderfocus solutions,7 yrs,"Ahmedabad,  Pune","dsp  ,  python  ,  c    ,  c  ,  os  ,  gdb  ,  svn  ,  git  ,  inter process communication  ,  linux",0.0
APPLYCUP HIRING SOLUTIONS LLP,10 yrs,Gandhinagar,"backup  ,  configuration  ,  networking  ,  network  ,  installation",0.0
TECHNOPARK TRIVANDRUM,10 yrs,Thiruvananthapuram,"software design  ,  storage  ,  bootstrap  ,  artificial intelligence  ,  jquery  ,  asp.net  ,  html  ,  mysql  ,  mvc  ,  moodle  ,  c#  ,  python  ,  entity framework  ,  javascript  ,  ruby  ,  .net  ,  php",0.0
APPLYCUP HIRING SOLUTIONS LLP,15 yrs,"Delhi,  Delhi/NCR","business analysis  ,  business analyst  ,  documentation skills",0.0
APPLYCUP HIRING SOLUTIONS LLP,7 yrs,"Gurgaon,  Delhi,  Delhi/NCR","c#  ,  css  ,  html5  ,  jquery  ,  javascript  ,  asp.net  ,  json  ,  web api  ,  mvc  ,  angularjs  ,  mediator  ,  soap",0.0
APPLYCUP HIRING SOLUTIONS LLP,10 yrs,Surat,"c#  ,  algorithms  ,  c    ,  os  ,  operating system  ,  bi  ,  senior software engineer  ,  jdbc  ,  windows  ,  database  ,  java  ,  linux  ,  software developer",0.0
APPLYCUP HIRING SOLUTIONS LLP,4 yrs,Ahmedabad,"bi  ,  requirement gathering  ,  tableau  ,  database  ,  tableau developer",0.0
APPLYCUP HIRING SOLUTIONS LLP,5 yrs,"Delhi,  Delhi/NCR","reports  ,  variance analysis  ,  budget monitoring  ,  budget preparation  ,  mis  ,  investor relations  ,  ratio analysis  ,  financial planning  ,  reporting  ,  senior executive  ,  sap  ,  management reporting  ,  mda  ,  budgeting  ,  excel  ,  variance  ,  finance",0.0
APPLYCUP HIRING SOLUTIONS LLP,4 yrs,Nasik,"c#  ,  css  ,  rdbms  ,  javascript  ,  jquery  ,  database  ,  c# .net  ,  asp.net  ,  .net  ,  html  ,  mvc",0.0
APPLYCUP HIRING SOLUTIONS LLP,9 yrs,Nasik,"linq  ,  entity framework  ,  asp.net  ,  .net  ,  software engineer  ,  mvc  ,  bootstrap  ,  api",0.0
APPLYCUP HIRING SOLUTIONS LLP,9 yrs,Noida/Greater Noida,"c#  ,  html5  ,  entity framework  ,  oops  ,  bootstrap  ,  javascript",0.0
excellence technosoft private limited,3 yrs,Mohali,"css  ,  ajax  ,  jquery  ,  javascript  ,  web developer  ,  php  ,  mysql  ,  html",0.0
excellence technosoft private limited,3 yrs,Mohali,"css  ,  php developer  ,  ajax  ,  jquery  ,  javascript  ,  php  ,  mysql  ,  html",0.0
cdl it pvt ltd,6 yrs,Vadodara,"python  ,  jasper  ,  spring  ,  database  ,  java  ,  leadership skills  ,  debugging  ,  object oriented programming  ,  angularjs",0.0
batchmaster software pvt. ltd.,5 yrs,Indore,"tfs  ,  testing  ,  vb  ,  vb.net  ,  qa  ,  java  ,  white box testing  ,  bug tracking  ,  asp. net",0.0
batchmaster software pvt. ltd.,3 yrs,Indore,"implementation  ,  sap b1  ,  delivery manager  ,  consultant",0.0
BANGALORE SOFTSELL LTD,7 yrs,Bengaluru / Bangalore,"c#  ,  oracle  ,  c  ,  .net technologies  ,  microsoft .net  ,  asp.net  ,  .net  ,  vb.net",0.0
Damco Solutions Pvt Ltd,8 yrs,Noida/Greater Noida,"css  ,  software design  ,  php developer  ,  jquery  ,  oop  ,  elastic search  ,  security  ,  software engineer  ,  mysql  ,  html  ,  web development  ,  cloud computing  ,  javascript  ,  messaging  ,  php  ,  web crawling",0.0
destiny hr group services,6 yrs,Gurgaon,"soa  ,  nosql  ,  .net  ,  mongodb  ,  forms",0.0
destiny hr group services,3 yrs,Gurgaon,"problem solving  ,  database  ,  application support",0.0
enterprise system solutions,6 yrs,Delhi,"business rules  ,  ajax  ,  jquery  ,  database  ,  asp.net  ,  oops  ,  mvc  ,  c#  ,  rdbms  ,  entity framework  ,  javascript",0.0
destiny hr group services,6 yrs,Gurgaon,"soa  ,  nosql  ,  .net  ,  mongodb  ,  forms",0.0
destiny hr group services,8 yrs,Gurgaon,"soa  ,  nosql  ,  .net  ,  mongodb  ,  forms",0.0
destiny hr group services,6 yrs,Gurgaon,"soa  ,  nosql  ,  .net  ,  mongodb  ,  forms",0.0
destiny hr group services,5 yrs,"Delhi,  Delhi/NCR","c#  ,  database  ,  asp.net  ,  .net  ,  mvc  ,  software developer  ,  asp",0.0
citrus payment solutions pvt. ltd.,12 yrs,Pune,"networking  ,  system administrator  ,  ntfs  ,  dns  ,  configuration  ,  hardware support  ,  network  ,  administrator  ,  installation  ,  system configuration  ,  infrastructure",0.0
armour display systems,1 yrs,Bengaluru / Bangalore,"computer savvy  ,  time management  ,  verbal communication  ,  computer diploma",0.0
Dreamline Technologies Pvt. Ltd.,6 yrs,Patna,"c#  ,  css  ,  c  ,  javascript  ,  jquery  ,  asp.net  ,  web api  ,  mysql  ,  html  ,  mvc  ,  technical skills  ,  forms",0.0
APPLYCUP HIRING SOLUTIONS LLP,6 yrs,Bengaluru / Bangalore,"fundamentals  ,  css  ,  oracle  ,  html5  ,  svn  ,  javascript  ,  odata  ,  database  ,  git  ,  json  ,  mysql  ,  angularjs",0.0
APPLYCUP HIRING SOLUTIONS LLP,5 yrs,Pune,"c#  ,  .net developer  ,  entity framework  ,  ado.net  ,  javascript  ,  linq  ,  xml  ,  asp.net  ,  json  ,  .net  ,  web api  ,  mvc  ,  asp",0.0
APPLYCUP HIRING SOLUTIONS LLP,8 yrs,"Gurgaon,  Delhi,  Delhi/NCR","c#  ,  c    ,  c  ,  microsoft technologies  ,  ms access  ,  ado.net  ,  vb.net  ,  vb  ,  ajax  ,  javascript  ,  jquery  ,  database  ,  xml  ,  asp.net  ,  web technologies",0.0
APPLYCUP HIRING SOLUTIONS LLP,5 yrs,"Delhi,  Delhi/NCR","c#  ,  c    ,  c  ,  microsoft technologies  ,  ms access  ,  ado.net  ,  vb.net  ,  vb  ,  ajax  ,  javascript  ,  jquery  ,  database  ,  xml  ,  asp.net  ,  web technologies",0.0
APPLYCUP HIRING SOLUTIONS LLP,5 yrs,"Gurgaon,  Delhi,  Delhi/NCR","system assembling  ,  networking  ,  network  ,  system administrator  ,  installation  ,  windows server  ,  mcse  ,  exchange server  ,  hardware",0.0
APPLYCUP HIRING SOLUTIONS LLP,9 yrs,Pune,"rest  ,  maven  ,  jax-ws  ,  mobile  ,  hibernate  ,  javascript  ,  spring  ,  database  ,  java  ,  spring mvc  ,  debugging  ,  object oriented programming  ,  angularjs  ,  soap",0.0
BUSISOL SOURCING INDIA PVT. LTD,6 yrs,Mumbai,"c#  ,  css  ,  bootstrap  ,  compilers  ,  jquery  ,  asp.net  ,  ssrs  ,  .net  ,  web api  ,  html  ,  mysql  ,  mvc",0.0
BUSISOL SOURCING INDIA PVT. LTD,3 yrs,Kolkata,"c#  ,  html5  ,  microsoft azure  ,  asp.net  ,  .net  ,  mvc  ,  software developer",0.0
Browse Info,1 yrs,Ahmedabad,"business analysis  ,  business analyst  ,  process documentation  ,  data visualization",0.0
Efftronics Systems Pvt Ltd,8 yrs,Vijayawada,"c    ,  data analysis  ,  business requirements  ,  data mining  ,  java  ,  predictive modeling  ,  data scientist  ,  statistical analysis  ,  design thinking  ,  predictive analysis",0.0
CS Soft Solutions Pvt. Ltd.,6 yrs,Chandigarh,"c#  ,  mvc architecture  ,  svn  ,  git  ,  debugging  ,  software engineer  ,  mysql  ,  web api  ,  mvc",0.0
CANDOUR TECHNOLOGIES,3 yrs,Hyderabad/Secunderabad,"soa  ,  jsp  ,  composer  ,  weblogic server  ,  weblogic  ,  oracle bpm  ,  jee  ,  database  ,  java  ,  oracle soa  ,  jdeveloper  ,  bpm",0.0
APPLYCUP HIRING SOLUTIONS LLP,1 yrs,Bengaluru / Bangalore,"c#  ,  c  ,  oracle  ,  information technology  ,  ajax  ,  xml  ,  asp.net  ,  .net  ,  web api  ,  software developer",0.0
APPLYCUP HIRING SOLUTIONS LLP,4 yrs,"Gurgaon,  Delhi,  Delhi/NCR","c#  ,  data administration  ,  javascript  ,  asp.net  ,  software support  ,  .net  ,  visual basic",0.0
APPLYCUP HIRING SOLUTIONS LLP,3 yrs,"Delhi,  Delhi/NCR","rest  ,  css  ,  rdbms  ,  html5  ,  mobile  ,  javascript  ,  jquery  ,  web technologies  ,  php  ,  json  ,  html  ,  phonegap  ,  soap",0.0
APPLYCUP HIRING SOLUTIONS LLP,6 yrs,Ahmedabad,"campaigns  ,  content marketing  ,  social media  ,  marketing strategy  ,  marketing  ,  online marketing  ,  trade  ,  pricing strategy",0.0
APPLYCUP HIRING SOLUTIONS LLP,3 yrs,Salem,"html5  ,  jquery  ,  asp.net  ,  software developer  ,  c#.net  ,  angularjs",0.0
APPLYCUP HIRING SOLUTIONS LLP,5 yrs,Mohali,"laravel  ,  ubuntu  ,  php developer  ,  ajax  ,  jquery  ,  javascript  ,  git  ,  oops  ,  linux  ,  php  ,  mysql  ,  mvc",0.0
Estee,3 yrs,Gurgaon,"c#  ,  c    ,  production support  ,  debugging  ,  .net  ,  linux shell scripting",0.0
CS Soft,6 yrs,Chandigarh,"c#  ,  mvc architecture  ,  svn  ,  git  ,  debugging  ,  software engineer  ,  mysql  ,  web api  ,  mvc",0.0
glan management consultancy pvt. ltd.,5 yrs,Noida/Greater Noida,"css  ,  laravel  ,  client server  ,  php developer  ,  team player  ,  ajax  ,  jquery  ,  javascript  ,  java  ,  oops  ,  codeigniter  ,  php  ,  mysql  ,  html  ,  magento",0.0
graficali solutions,3 yrs,Mumbai,"xamarin  ,  mobile  ,  jquery  ,  eclipse  ,  database  ,  java  ,  google api  ,  api  ,  technical skills",0.0
kavayah it solutions pvt ltd.,4 yrs,Hyderabad/Secunderabad,"c#  ,  css  ,  javascript  ,  asp.net  ,  .net  ,  web development",0.0
Ideametrics,8 yrs,Pune,"steel  ,  structural drawings  ,  structural drawing  ,  detailing  ,  structural  ,  modeler  ,  tekla",0.0
Manav Consultants,13 yrs,"Indore,  Pune","soa  ,  jsp  ,  jdbc  ,  hibernate  ,  ajax  ,  jquery  ,  spring  ,  jaxb  ,  java  ,  uml  ,  xml  ,  j2ee  ,  json  ,  html  ,  mysql  ,  ejb  ,  sybase  ,  java developer  ,  struts  ,  servlets  ,  jsf",0.0
Nous Info Systems,8 yrs,Bengaluru / Bangalore,"c#  ,  entity framework  ,  system administration  ,  backbone.js  ,  asp.net  ,  mvc",0.0
kudosindia,3 yrs,Mumbai,"nintex  ,  sharepoint developer  ,  sharepoint  ,  javascript  ,  jquery  ,  security  ,  xml  ,  asp.net  ,  c#.net",0.0
kudosindia,3 yrs,Mumbai,"typography  ,  design strategy  ,  web design  ,  web designer  ,  indesign  ,  website  ,  mobile  ,  photoshop  ,  visual design  ,  wireframes  ,  illustration  ,  illustrator",0.0
Rehlat,3 yrs,Hyderabad/Secunderabad,"c#  ,  css  ,  python  ,  entity framework  ,  javascript  ,  jquery  ,  microsoft .net  ,  asp.net  ,  software engineer  ,  web api  ,  html  ,  mvc  ,  api",0.0
reliablesoft technologies pvt. ltd,4 yrs,Jaipur,"rest  ,  css  ,  computer application  ,  svn  ,  javascript  ,  jquery  ,  database  ,  git  ,  asp.net  ,  debugging  ,  software engineer  ,  html  ,  c#.net",0.0
MORPHOGENESIS,3 yrs,"Mumbai,  Delhi,  Delhi/NCR","architect  ,  sketchup  ,  revit  ,  space planning  ,  architecture",0.0
Nous Info Systems,8 yrs,,"ajax  ,  javascript  ,  jquery  ,  linq  ,  xml  ,  asp.net  ,  c#.net  ,  soap",0.0
IMBIBE TECHNOLOGIES PVT LTD.,5 yrs,Karnal,"sharepoint developer  ,  html5  ,  sharepoint  ,  windows azure  ,  windows",0.0
IMBIBE TECHNOLOGIES PVT LTD.,8 yrs,Karnal,"robohelp  ,  windows  ,  user guide  ,  user documentation  ,  technical writer  ,  madcap flare",0.0
Nous Info Systems,8 yrs,,"css  ,  aicc  ,  sharepoint  ,  javascript  ,  xml  ,  .net  ,  software engineer  ,  mvc  ,  documentum",0.0
Nous Info Systems,8 yrs,,"oracle  ,  test lead  ,  programmer analyst  ,  bugzilla  ,  soap ui  ,  jmeter  ,  qa  ,  ota  ,  jira",0.0
Nous Info Systems,7 yrs,Bengaluru / Bangalore,"css  ,  html5  ,  bootstrap  ,  jquery  ,  grunt  ,  git  ,  web api  ,  mvc  ,  c#  ,  github  ,  svn  ,  javascript  ,  visual studio .net  ,  .net",0.0
IDS Infotech Ltd,6 yrs,Chandigarh,"mvc framework  ,  css  ,  html5  ,  ado.net  ,  kendo ui  ,  problem solving  ,  jquery  ,  javascript  ,  oop  ,  mvvm  ,  asp.net  ,  software engineer  ,  web api  ,  mvc  ,  asp.net c#",0.0
TandA HR Solutions,7 yrs,Mohali,"c#  ,  rdbms  ,  entity framework  ,  asp .net  ,  problem solving  ,  ajax  ,  javascript  ,  jquery  ,  database  ,  linq  ,  software engineer  ,  mvc  ,  angularjs",0.0
TandA HR Solutions,3 yrs,Mohali,"c#  ,  rdbms  ,  entity framework  ,  asp .net  ,  problem solving  ,  ajax  ,  javascript  ,  jquery  ,  database  ,  linq  ,  software engineer  ,  mvc  ,  angularjs",0.0
TandA HR Solutions,7 yrs,"Patiala,  Chandigarh","sales enablement  ,  demand generation  ,  marketing  ,  strategy development  ,  marketing initiatives  ,  seo  ,  social media  ,  offline marketing",0.0
TandA HR Solutions,8 yrs,Chandigarh,"business analysis  ,  business analyst  ,  documentation skills",0.0
starcom information technology limited,3 yrs,Bengaluru / Bangalore,"sales   ,  marketing  ,  Business Intelligence",0.0
Securelayer7 Technologies Pvt Ltd,3 yrs,Pune,"c    ,  wireless communication  ,  security  ,  java  ,  linux  ,  api  ,  c#  ,  rest  ,  python  ,  c  ,  mobile  ,  team player  ,  windows  ,  javascript  ,  infrastructure  ,  .net  ,  soap",0.0
techstar software development india pvt. ltd.,8 yrs,,"cobit  ,  security analyst  ,  security  ,  information security  ,  nist  ,  information security management",0.0
techstar software development india pvt. ltd.,8 yrs,Hyderabad/Secunderabad,"oracle  ,  react.js  ,  atg  ,  xml  ,  linux  ,  j2ee  ,  soap",0.0
Topnotch soft sol India pvt ltd,3 yrs,Hyderabad/Secunderabad,"c#  ,  rest  ,  css  ,  problem solving  ,  triggers  ,  javascript  ,  jquery  ,  java  ,  associate software engineer  ,  infrastructure  ,  asp.net  ,  .net  ,  html  ,  mvc  ,  angularjs",0.0
VSH Solutions,3 yrs,Pune,"algorithms  ,  rest api  ,  asp.net  ,  data structures  ,  mvc  ,  c#.net  ,  angularjs  ,  asp.net c#",0.0
Symphisys,10 yrs,Hyderabad/Secunderabad,"consultant  ,  oracle  ,   apps technical",0.0
Sardonyx Technologies,6 yrs,Thanjavur,"c#  ,  css  ,  oracle  ,  senior software engineer  ,  problem solving  ,  web based applications  ,  ajax  ,  javascript  ,  jquery  ,  xml  ,  oops  ,  .net  ,  mysql  ,  html  ,  mvc",0.0
Rigel Networks Pvt Ltd,8 yrs,Vadodara,"css  ,  html5  ,  ajax  ,  jquery  ,  database  ,  asp.net  ,  oops  ,  ssrs  ,  debugging  ,  json  ,  web api  ,  mvc  ,  c#  ,  .net developer  ,  entity framework  ,  kentico  ,  javascript  ,  nosql  ,  linq  ,  .net  ,  reporting tools",0.0
Yudiz Solutions,3 yrs,Ahmedabad,"rest  ,  css  ,  .net developer  ,  javascript  ,  jquery  ,  c# programming  ,  git  ,  oops  ,  .net  ,  html  ,  mvc  ,  technical skills  ,  soap",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
WALMART INDIA,6 yrs,,"repair  ,  maintenance operations  ,  stores  ,  sourcing  ,  transportation  ,  truck driver  ,  maintenance management",0.0
